LSTeamId,StartYear,EndYear,Name
144,1876,1882,Boston Red Caps
144,1883,1906,Boston Beaneaters
144,1907,1910,Boston Doves
144,1911,1911,Boston Rustlers
144,1912,1952,Boston Braves
144,1936,1940,Boston Bees
144,1953,1965,Milwaukee Braves
144,1966,2022,Atlanta Braves
112,1876,1889,Chicago White Stockings
112,1890,1897,Chicago Colts
112,1898,1902,Chicago Orphans
112,1903,2022,Chicago Cubs
204,1876,1880,Cincinnati Reds
123,1876,1877,Hartford Dark Blues
132,1876,1877,Louisville Grays
155,1876,1876,New York Mutuals
173,1876,1876,Philadelphia Athletics
195,1876,1877,St. Louis Brown Stockings
124,1878,1878,Indianapolis Blues
150,1878,1878,Milwaukee Cream Citys
224,1878,1885,Providence Grays
187,1879,1885,Buffalo Bisons
208,1879,1884,Cleveland Spiders
199,1879,1879,Syracuse Stars
299,1879,1882,Troy Trojans
297,1880,1882,Worcester Brown Stockings
213,1881,1888,Detroit Wolverines
163,1882,1889,Baltimore Orioles
113,1882,1889,Cincinnati Red Stockings
113,1890,2022,Cincinnati Reds
113,1954,1959,Cincinnati Redlegs
148,1882,1899,Louisville Colonels
172,1882,1891,Philadelphia Athletics
134,1882,2022,Pittsburgh Pirates
178,1882,1891,St. Louis Cardinals
137,1883,1885,New York Gothams
137,1886,1957,New York Giants
137,1958,2022,San Francisco Giants
143,1883,2022,Philadelphia Phillies
210,1883,1884,Columbus Colts
156,1883,1887,New York Metropolitans
119,1884,1884,Brooklyn Atlantics
119,1885,1887,Brooklyn Grays
119,1888,1898,Brooklyn Bridegrooms
119,1891,1895,Brooklyn Grooms
119,1899,1913,Brooklyn Superbas
119,1911,1957,Brooklyn Dodgers
119,1914,1931,Brooklyn Robins
119,1958,2022,Los Angeles Dodgers
125,1884,1884,Indianapolis Blues
181,1884,1884,Richmond Virginias
201,1884,1884,Toledo Blue Stockings
219,1884,1884,Washington Nationals
161,1884,1884,Altoona Pride
167,1884,1884,Baltimore Monumentals
169,1884,1884,Boston Unions
193,1884,1884,Chicago Unions
206,1884,1884,Cincinnati Outlaw Reds
130,1884,1884,Kansas City Unions
152,1884,1884,Milwaukee Unions
175,1884,1884,Philadelphia Keystones
196,1884,1886,St. Louis Maroons
198,1884,1884,St. Paul Saints
222,1884,1884,Washington Nationals
223,1884,1884,Wilmington Quicksteps
129,1886,1886,Kansas City Cowboys
220,1886,1889,Washington Senators
126,1887,1889,Indianapolis Hoosiers
209,1887,1899,Cleveland Spiders
127,1888,1889,Kansas City Blues
211,1889,1891,Columbus Colts
166,1890,1899,Baltimore Orioles
184,1890,1890,Brooklyn Gladiators
180,1890,1890,Rochester Hop Bitters
200,1890,1890,Syracuse Stars
202,1890,1890,Toledo Maumees
168,1890,1891,Boston Reds
186,1890,1890,Brooklyn Wonders
188,1890,1890,Buffalo Bisons
192,1890,1890,Chicago Pirates
212,1890,1890,Cleveland Infants
157,1890,1890,New York Giants
174,1890,1890,Philadelphia Quakers
177,1890,1890,Pittsburgh Burghers
205,1891,1891,Cincinnati Kelly's Killers
151,1891,1891,Milwaukee Brewers
221,1891,1899,Washington Senators
138,1892,2022,St. Louis Cardinals
298,1901,1902,Baltimore Orioles
111,1901,1906,Boston Americans
111,1907,2022,Boston Red Sox
145,1901,2022,Chicago White Sox
114,1901,1901,Cleveland Blues
114,1902,1902,Cleveland Bronchos
114,1903,1914,Cleveland Naps
114,1915,2021,Cleveland Indians
114,2022,2022,Cleveland Guardians
116,1901,2022,Detroit Tigers
110,1901,1901,Milwaukee Brewers
110,1902,1953,St. Louis Browns
110,1954,2022,Baltimore Orioles
133,1901,1954,Philadelphia Athletics
133,1955,1967,Kansas City Athletics
133,1968,2022,Oakland Athletics
142,1901,1960,Washington Senators
142,1961,2022,Minnesota Twins
147,1903,1912,New York Highlanders
147,1913,2022,New York Yankees
165,1914,1915,Baltimore Terrapins
185,1914,1915,Brooklyn Feds
189,1914,1915,Buffalo Feds
191,1914,1915,Chicago Whales
153,1914,1914,Indianapolis Hoosier-Feds
153,1915,1915,Newark Peppers
128,1914,1915,Kansas City Packers
176,1914,1915,Pittsburgh Rebels
197,1914,1915,St. Louis Terriers
108,1961,2022,Los Angeles Angels
108,1966,1996,California Angels
108,1997,2004,Anaheim Angels
140,1961,1971,Washington Senators
140,1972,2022,Texas Rangers
117,1962,1964,Houston Colt 45's
117,1965,2022,Houston Astros
121,1962,2022,New York Mets
118,1968,2022,Kansas City Royals
120,1968,2004,Montreal Expos
120,2005,2022,Washington Nationals
135,1968,2022,San Diego Padres
158,1968,1969,Seattle Pilots
158,1970,2022,Milwaukee Brewers
136,1977,2022,Seattle Mariners
141,1977,2022,Toronto Blue Jays
146,1991,2011,Florida Marlins
146,2012,2022,Miami Marlins
115,1992,2022,Colorado Rockies
109,1996,2022,Arizona Diamondbacks
139,1996,2007,Tampa Bay Devil Rays
139,2008,2022,Tampa Bay Rays
