LSTeamId,Name
110,Baltimore Orioles
111,Boston Red Sox
145,Chicago White Sox
114,Cleveland Indians
116,Detroit Tigers
118,Kansas City Royals
108,Los Angeles Angels
142,Minnesota Twins
147,New York Yankees
133,Oakland Athletics
136,Seattle Mariners
139,Tampa Bay Devil Rays
140,Texas Rangers
141,Toronto Blue Jays
109,Arizona Diamondbacks
144,Atlanta Braves
112,Chicago Cubs
113,Cincinnati Reds
115,Colorado Rockies
146,Florida Marlins
117,Houston Astros
119,Los Angeles Dodgers
158,Milwaukee Brewers
121,New York Mets
143,Philadelphia Phillies
134,Pittsburgh Pirates
135,San Diego Padres
137,San Francisco Giants
138,St. Louis Cardinals
120,Washington Nationals
