David Aardsma,2052
Reggie Abercrombie,2060
Bobby Abreu,2062
Jeremy Accardo,2056
Jeremy Affeldt,2061
Matt Albers,2831
Antonio Alfonseca,2065
Eliezer Alfonzo,2832
Moises Alou,2064
Alfredo Amezaga,2792
Garret Anderson,2067
Marlon Anderson,2068
Great Anderson,3813
Brian N. Anderson,2069
Greg Aquino,2055
Joaquin Arias,2793
Tony Armas,2053
Bronson Arroyo,2066
Garrett Atkins,2059
Rich Aurilia,2141
Brad Ausmus,2133
Luis Ayala,2063
Willy Aybar,2054
Erick Aybar,2791
Brandon Backe,2462
Danys Baez,2457
Great Baker,3824
Jeff Baker,2561
Scott Baker,2562
Paul Bako,2458
Rocco Baldelli,2824
John Bale,2955
Brian Bannister,2928
Rod Barajas,2474
Josh Bard,2442
Brian Barden,2923
Josh Barfield,2445
Clint Barmes,2448
Michael Barrett,2482
Jason Bartlett,2443
Tony Batista,2811
Miguel Batista,2467
Denny Bautista,2606
Jose Bautista,2605
Jason Bay,2560
Jonah Bayliss,2565
Colter Bean,2495
Josh Beckett,2572
Erik Bedard,2501
Joe Beimel,2564
Matt Belisle,2584
Ronnie Belliard,2583
Carlos Beltran,2585
Adrian Beltre,2586
Armando Benitez,2577
Gary Bennett,2579
Joaquin Benoit,2580
Kris Benson,2599
Jason Bergmann,2436
Lance Berkman,2435
Angel Berroa,2596
Rafael Betancourt,2573
Yuniesky Betancourt,2574
Craig Biggio,2498
Chad Billingsley,2951
Kurt Birkins,2921
Joseph Bisenius,2936
Casey Blake,2550
Hank Blalock,2551
Henry Blanco,2538
Joe Blanton,2542
Willie Bloomquist,2548
Geoff Blum,2535
Jeremy Bonderman,2620
Boof Bonser,2966
Aaron Boone,2519
Chris Bootcheck,2518
Joe Borchard,2604
Dave Borkowski,2964
Joe Borowski,2616
Michael Bourn,2816
Rob Bowen,2602
Micah Bowie,2962
Blaine Boyer,2601
Chad Bradford,2532
Milton Bradley,2533
Russell Branyan,2534
Ryan Braun,2947
Bill Bray,2952
Yhency Brazoban,2531
Chris Britton,2950
Doug Brocail,2557
Ben Broussard,2545
Emil Brown,2530
Matthew Brown,2946
Jonathan Broxton,2555
Brian Bruney,2547
Taylor Buchholz,2526
John Buck,2463
Travis Buck,2926
Ryan Budde,2945
Mark Buehrle,2450
Ambiorix Burgos,2437
Jamie Burke,2808
Chris Burke,2434
A.J. Burnett,2444
Pat Burrell,2483
Brian Burres,2953
Jared Burton,2924
Dave Bush,2527
Freddie Bynum,2452
Paul Byrd,2441
Eric Byrnes,2451
Orlando Cabrera,2167
Miguel Cabrera,2169
Fernando Cabrera,2168
Daniel Cabrera,2170
Melky Cabrera,2171
Matt Cain,2229
Miguel Cairo,2151
Kiko Calero,2178
Alberto Callaspo,2866
Mike Cameron,2184
Great Cameron,3827
Kevin Cameron,2857
Shawn Camp,2186
Edward Campusano,2853
Robinson Cano,2165
Jorge Cantu,2179
Jose Capellan,2172
Matt Capps,2162
Chris Capuano,2166
Fausto Carmona,2173
Chris Carpenter,2148
Hector Carrasco,2174
Jamey Carroll,2185
Sean Casey,2230
Santiago Casilla,2849
Alexi Casilla,2850
Scott Cassidy,2183
Alberto Castillo,2153
Luis Castillo,2154
Jose Castillo,2155
Kory Casto,2851
Juan Castro,2157
Ramon Castro,2156
Fabio Castro,2852
Frank Catalanotto,2161
Ronny Cedeno,2352
Gustavo Chacin,2380
Shawn Chacon,2379
Eric Chavez,2381
Endy Chavez,2382
Bruce Chen,2376
Rocky Cherry,2907
Matt Chico,2908
Shin–Soo Choo,2828
Vinnie Chulk,2377
Ryan Church,2378
Alex Cintron,2326
Jeff Cirillo,2323
Tony Clark,2201
Brady Clark,2200
Darren Clarke,2862
Royce Clayton,2218
Roger Clemens,2222
Matt Clement,2223
Todd Coffey,2252
Jesus Colome,2260
Bartolo Colon,2261
Roman Colon,2262
Clay Condrey,2877
Jeff Conine,2241
Jose Contreras,2268
Aaron Cook,2198
Alex Cora,2244
Tim Corcoran,2256
Francisco Cordero,2258
Chad Cordero,2257
Rheal Cormier,2243
Lance Cormier,2242
Manny Corpas,2872
Kevin Correia,2259
Shane Costa,2246
Chris Coste,2874
Humberto Cota,2247
Neal Cotts,2249
Craig Counsell,2152
Jon Coutlangus,2873
Jesse Crain,2219
Carl Crawford,2227
Joe Crede,2208
Coco Crisp,2211
Bobby Crosby,2226
Juan Cruz,2215
Great Cruz,4081
Nelson Cruz,2865
Jose Cruz Jr.,2216
Michael Cuddyer,2163
Johnny Damon,2394
John Danks,2906
Jeff DaVanon,2369
Kyle Davies,2389
Doug Davis,2390
Jason Davis,2391
Rajai Davis,2392
Dewon Day,2910
Alejandro De Aza,2909
Eulogio De La Cruz,2914
Jorge de la Rosa,2404
David DeJesus,2400
Manny Delcarmen,2406
Carlos Delgado,2407
David Dellucci,2405
Ryan Dempster,2409
Chris Denorfia,2397
Julio DePaula,2912
Mark DeRosa,2408
Elmer Dessens,2396
Joey Devine,2398
Victor Diaz,2384
Matt Diaz,2385
Lenny DiNardo,2387
Greg Dobbs,2414
Octavio Dotel,2415
Ryan Doumit,2410
Dennis Dove,2915
Scott Downs,2366
J.D. Drew,2420
Stephen Drew,2419
Justin Duchscherer,2403
Brandon Duckworth,2904
Chris Duffy,2371
Zach Duke,2402
Elijah Dukes,2913
Chris Duncan,2375
Adam Dunn,2374
Chad Durbin,2902
J.D. Durbin,2362
Ray Durham,2363
Jermaine Dye,2365
Damion Easley,2070
Adam Eaton,2071
David Eckstein,2118
Jim Edmonds,2121
Scott Elarton,2123
Brad Eldred,2126
Mark Ellis,2124
Jason Ellison,2125
Alan Embree,2130
Juan Encarnacion,2127
Edwin Encarnacion,2128
Morgan Ensberg,2129
Darin Erstad,2051
