Team 1
1 P 0: Bedard, Erik                [01000000] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
2 P 0: Cabrera, Daniel             [01000000] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
3 P 0: Loewen, Adam                [01000000] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
4 P 0: Trachsel, Steve             [01000000] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
5 P 1: Guthrie, Jeremy             [01000000] | [01000000] | [00000000] | [00000000] | [00000100] | [00000000]
6 P 2: Parrish, John               [01000000] | [01000000] | [00000000] | [00000000] | [00001000] | [00000000]
7 P 3: Burres, Brian               [01000000] | [01000000] | [00000000] | [00000000] | [00001100] | [00000000]
8 P 3: Williamson, Scott           [01000000] | [01000000] | [00000000] | [00000000] | [00001100] | [00000000]
9 P 3: Baez, Danys                 [01000000] | [01000000] | [00000000] | [00000000] | [00001100] | [00000000]
10 P 6: Thompson, Great            [01000000] | [01000000] | [00000000] | [00000000] | [00011000] | [00000000]
11 P 6: Bradford, Chad             [01000000] | [01000000] | [00000000] | [00000000] | [00011000] | [00000000]
12 P 7: Ray, Chris                 [01000000] | [01000000] | [00000000] | [00000000] | [00011100] | [00000000]
13 C 5: Bako, Paul                 [01000000] | [01000000] | [00000000] | [00000010] | [00010100] | [00000000]
14 C 5: Hernandez, Ramon           [01000000] | [01000000] | [00000000] | [00000001] | [00010100] | [00000000]
15 1B 5: Johnson, Great            [01000000] | [01000000] | [00000000] | [00000100] | [00010100] | [00000000]
16 2B 5: Roberts, Brian            [01000000] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
17 3B 5: Mora, Melvin              [01000000] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
18 SS 5: Gomez, Chris              [01000000] | [01000000] | [00000000] | [00000010] | [00010100] | [00000000]
19 SS 5: Tejada, Miguel            [01000000] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
20 RF 5: Gibbons, Jay              [01000000] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
21 1B 5: Huff, Aubrey              [01000000] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
22 CF 5: Patterson, Corey          [01000000] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
23 LF 5: Markakis, Nick            [01000000] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
24 LF 5: Bynum, Freddie            [01000000] | [01000000] | [00000000] | [00001100] | [00010100] | [00000000]
25 LF 5: Payton, Jay               [01000000] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
26 P 5: Benson, Kris               [10000000] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
27 P 5: Rleal, Sendy               [10000000] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
28 P 5: Birkins, Kurt              [10000000] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
29 P 5: Johnson, Jim               [10000000] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
30 P 5: Wright, Jaret              [10000000] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
31 C 5: Castillo, Alberto          [10000000] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
32 CF 5: Stern, Adam               [10000000] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]

Team 2
1 P 0: Schilling, Curt             [01000000] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
2 P 0: Beckett, Josh               [01000000] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
3 P 0: Matsuzaka, Daisuke          [01000000] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
4 P 0: Wakefield, Tim              [01000000] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
5 P 0: Tavarez, Julian             [01000000] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
6 P 2: Anderson, Great             [01000000] | [10000000] | [00000000] | [00000000] | [00001000] | [00000000]
7 P 2: Lopez, Javier               [01000000] | [10000000] | [00000000] | [00000000] | [00001000] | [00000000]
8 P 3: Pineiro, Joel               [01000000] | [10000000] | [00000000] | [00000000] | [00001100] | [00000000]
9 P 3: Romero, J.C.                [01000000] | [10000000] | [00000000] | [00000000] | [00001100] | [00000000]
10 P 3: Snyder, Kyle               [01000000] | [10000000] | [00000000] | [00000000] | [00001100] | [00000000]
11 P 6: Okajima, Hideki            [01000000] | [10000000] | [00000000] | [00000000] | [00011000] | [00000000]
12 P 7: Papelbon, Jonathan         [01000000] | [10000000] | [00000000] | [00000000] | [00011100] | [00000000]
13 C 5: Varitek, Jason             [01000000] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
14 C 5: Mirabelli, Doug            [01000000] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
15 1B 5: Ortiz, David              [01000000] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
16 1B 5: Hinske, Eric              [01000000] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
17 1B 5: Youkilis, Kevin           [01000000] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
18 2B 5: Pedroia, Dustin           [01000000] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
19 3B 5: Lowell, Mike              [01000000] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
20 SS 5: Cora, Alex                [01000000] | [10000000] | [00000000] | [00000010] | [00010100] | [00000000]
21 SS 5: Lugo, Julio               [01000000] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
22 RF 5: Pena, Wily Mo             [01000000] | [10000000] | [00000000] | [00001000] | [00010100] | [00000000]
23 RF 5: Drew, J.D.                [01000000] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
24 CF 5: Crisp, Coco               [01000000] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
25 LF 5: Ramirez, Manny            [01000000] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
26 P 5: Delcarmen, Manny           [10000000] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
27 P 5: Clement, Matt              [10000000] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
28 P 5: Gabbard, Kason             [10000000] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
29 P 5: Hansack, Devern            [10000000] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
30 P 5: Timlin, Mike               [10000000] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
31 P 5: Lester, Jon                [10000000] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]

Team 3
1 P 0: Pavano, Carl                [01000000] | [11000000] | [00000000] | [00000000] | [00000000] | [00000000]
2 P 0: Pettitte, Andy              [01000000] | [11000000] | [00000000] | [00000000] | [00000000] | [00000000]
3 P 0: Mussina, Mike               [01000000] | [11000000] | [00000000] | [00000000] | [00000000] | [00000000]
4 P 0: Wang, Chien-Ming            [01000000] | [11000000] | [00000000] | [00000000] | [00000000] | [00000000]
5 P 0: Clemens, Roger              [01000000] | [11000000] | [00000000] | [00000000] | [00000000] | [00000000]
6 P 2: Henn, Sean                  [01000000] | [11000000] | [00000000] | [00000000] | [00001000] | [00000000]
7 P 2: Bruney, Brian               [01000000] | [11000000] | [00000000] | [00000000] | [00001000] | [00000000]
8 P 3: Vizcaino, Luis              [01000000] | [11000000] | [00000000] | [00000000] | [00001100] | [00000000]
9 P 3: Proctor, Scott              [01000000] | [11000000] | [00000000] | [00000000] | [00001100] | [00000000]
10 P 4: Myers, Mike                [01000000] | [11000000] | [00000000] | [00000000] | [00010000] | [00000000]
11 P 6: Farnsworth, Kyle           [01000000] | [11000000] | [00000000] | [00000000] | [00011000] | [00000000]
12 P 7: Rivera, Mariano            [01000000] | [11000000] | [00000000] | [00000000] | [00011100] | [00000000]
13 C 5: Posada, Jorge              [01000000] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
14 C 5: Nieves, Wil                [01000000] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
15 1B 5: Phelps, Josh              [01000000] | [11000000] | [00000000] | [00001000] | [00010100] | [00000000]
16 1B 5: Mientkiewicz, Doug        [01000000] | [11000000] | [00000000] | [00001010] | [00010100] | [00000000]
17 1B 5: Giambi, Jason             [01000000] | [11000000] | [00000000] | [00000001] | [00010100] | [00000000]
18 2B 5: Cairo, Miguel             [01000000] | [11000000] | [00000000] | [00000010] | [00010100] | [00000000]
19 2B 5: Cano, Robinson            [01000000] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
20 3B 5: Rodriguez, Alex           [01000000] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
21 SS 5: Jeter, Derek              [01000000] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
22 RF 5: Abreu, Bobby              [01000000] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
23 CF 5: Damon, Johnny             [01000000] | [11000000] | [00000000] | [00000001] | [00010100] | [00000000]
24 CF 5: Cabrera, Melky            [01000000] | [11000000] | [00000000] | [00001010] | [00010100] | [00000000]
